T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
202,Sub-Saharan Africa,2016,"Seats held by women in national parliament, as of February (%)",,,23.2714,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
202,Sub-Saharan Africa,2017,"Seats held by women in national parliament, as of February (%)",,,23.7273,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
202,Sub-Saharan Africa,2018,"Seats held by women in national parliament, as of February (%)",,,23.6443,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
202,Sub-Saharan Africa,2019,"Seats held by women in national parliament, as of February (%)",,,23.8813,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
14,Eastern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,11.8943,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
14,Eastern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,16.5918,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
14,Eastern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,21.593,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
14,Eastern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,27.1855,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
14,Eastern Africa,2016,"Seats held by women in national parliament, as of February (%)",,,28.8517,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
14,Eastern Africa,2017,"Seats held by women in national parliament, as of February (%)",,,29.695,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
14,Eastern Africa,2018,"Seats held by women in national parliament, as of February (%)",,,29.9949,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
14,Eastern Africa,2019,"Seats held by women in national parliament, as of February (%)",,,30.2232,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
17,Middle Africa,2000,"Seats held by women in national parliament, as of February (%)",,,8.61,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
17,Middle Africa,2005,"Seats held by women in national parliament, as of February (%)",,,11.2483,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
17,Middle Africa,2010,"Seats held by women in national parliament, as of February (%)",,,13.4652,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
17,Middle Africa,2015,"Seats held by women in national parliament, as of February (%)",,,18.1087,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
17,Middle Africa,2016,"Seats held by women in national parliament, as of February (%)",,,18.1087,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
17,Middle Africa,2017,"Seats held by women in national parliament, as of February (%)",,,17.4447,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
17,Middle Africa,2018,"Seats held by women in national parliament, as of February (%)",,,16.4334,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
17,Middle Africa,2019,"Seats held by women in national parliament, as of February (%)",,,17.0239,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
18,Southern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,22.4736,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
18,Southern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,24.5833,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
18,Southern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,33.3799,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
18,Southern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,33.3777,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
18,Southern Africa,2016,"Seats held by women in national parliament, as of February (%)",,,33.3777,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
18,Southern Africa,2017,"Seats held by women in national parliament, as of February (%)",,,33.4225,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
18,Southern Africa,2018,"Seats held by women in national parliament, as of February (%)",,,33.6898,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
18,Southern Africa,2019,"Seats held by women in national parliament, as of February (%)",,,34.0454,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
11,Western Africa,2000,"Seats held by women in national parliament, as of February (%)",,,8.1695,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
11,Western Africa,2005,"Seats held by women in national parliament, as of February (%)",,,10.2011,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
11,Western Africa,2010,"Seats held by women in national parliament, as of February (%)",,,11.5598,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
11,Western Africa,2015,"Seats held by women in national parliament, as of February (%)",,,14.4514,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
11,Western Africa,2016,"Seats held by women in national parliament, as of February (%)",,,13.9535,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
11,Western Africa,2017,"Seats held by women in national parliament, as of February (%)",,,14.8782,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
11,Western Africa,2018,"Seats held by women in national parliament, as of February (%)",,,14.8368,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
11,Western Africa,2019,"Seats held by women in national parliament, as of February (%)",,,14.8055,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
19,Americas,2000,"Seats held by women in national parliament, as of February (%)",,,15.3545,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
19,Americas,2005,"Seats held by women in national parliament, as of February (%)",,,18.7783,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
19,Americas,2010,"Seats held by women in national parliament, as of February (%)",,,22.1413,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
19,Americas,2015,"Seats held by women in national parliament, as of February (%)",,,26.5413,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
19,Americas,2016,"Seats held by women in national parliament, as of February (%)",,,27.2837,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
19,Americas,2017,"Seats held by women in national parliament, as of February (%)",,,28.3041,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
19,Americas,2018,"Seats held by women in national parliament, as of February (%)",,,28.4666,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
19,Americas,2019,"Seats held by women in national parliament, as of February (%)",,,30.5896,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
21,Northern America,2000,"Seats held by women in national parliament, as of February (%)",,,16.3043,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
21,Northern America,2005,"Seats held by women in national parliament, as of February (%)",,,17.4966,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
21,Northern America,2010,"Seats held by women in national parliament, as of February (%)",,,18.9771,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
21,Northern America,2015,"Seats held by women in national parliament, as of February (%)",,,21.7568,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
21,Northern America,2016,"Seats held by women in national parliament, as of February (%)",,,22.2798,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
21,Northern America,2017,"Seats held by women in national parliament, as of February (%)",,,22.2078,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
21,Northern America,2018,"Seats held by women in national parliament, as of February (%)",,,22.7865,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
21,Northern America,2019,"Seats held by women in national parliament, as of February (%)",,,25.0326,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
419,Latin America & the Caribbean,2000,"Seats held by women in national parliament, as of February (%)",,,15.1846,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
419,Latin America & the Caribbean,2005,"Seats held by women in national parliament, as of February (%)",,,19.0095,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
419,Latin America & the Caribbean,2010,"Seats held by women in national parliament, as of February (%)",,,22.7013,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
419,Latin America & the Caribbean,2015,"Seats held by women in national parliament, as of February (%)",,,27.3829,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
419,Latin America & the Caribbean,2016,"Seats held by women in national parliament, as of February (%)",,,28.1991,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
419,Latin America & the Caribbean,2017,"Seats held by women in national parliament, as of February (%)",,,29.4076,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
419,Latin America & the Caribbean,2018,"Seats held by women in national parliament, as of February (%)",,,29.5213,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
419,Latin America & the Caribbean,2019,"Seats held by women in national parliament, as of February (%)",,,31.5839,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
29,Caribbean,2000,"Seats held by women in national parliament, as of February (%)",,,20.5909,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
29,Caribbean,2005,"Seats held by women in national parliament, as of February (%)",,,25.9752,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
29,Caribbean,2010,"Seats held by women in national parliament, as of February (%)",,,29.4068,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
29,Caribbean,2015,"Seats held by women in national parliament, as of February (%)",,,33.1081,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
29,Caribbean,2016,"Seats held by women in national parliament, as of February (%)",,,33.0229,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
29,Caribbean,2017,"Seats held by women in national parliament, as of February (%)",,,33.8005,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
29,Caribbean,2018,"Seats held by women in national parliament, as of February (%)",,,33.7449,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
29,Caribbean,2019,"Seats held by women in national parliament, as of February (%)",,,36.0927,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
13,Central America,2000,"Seats held by women in national parliament, as of February (%)",,,14.3123,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
13,Central America,2005,"Seats held by women in national parliament, as of February (%)",,,17.3913,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
13,Central America,2010,"Seats held by women in national parliament, as of February (%)",,,21.5686,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
13,Central America,2015,"Seats held by women in national parliament, as of February (%)",,,30.1444,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
13,Central America,2016,"Seats held by women in national parliament, as of February (%)",,,32.5,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
13,Central America,2017,"Seats held by women in national parliament, as of February (%)",,,33.066,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
13,Central America,2018,"Seats held by women in national parliament, as of February (%)",,,32.5312,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
13,Central America,2019,"Seats held by women in national parliament, as of February (%)",,,36.2745,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
5,South America,2000,"Seats held by women in national parliament, as of February (%)",,,12.5325,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
5,South America,2005,"Seats held by women in national parliament, as of February (%)",,,15.7725,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
5,South America,2010,"Seats held by women in national parliament, as of February (%)",,,19.1983,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
5,South America,2015,"Seats held by women in national parliament, as of February (%)",,,22.2454,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
5,South America,2016,"Seats held by women in national parliament, as of February (%)",,,22.7202,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
5,South America,2017,"Seats held by women in national parliament, as of February (%)",,,24.4919,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
5,South America,2018,"Seats held by women in national parliament, as of February (%)",,,24.7916,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
5,South America,2019,"Seats held by women in national parliament, as of February (%)",,,26.1114,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
142,Asia,2000,"Seats held by women in national parliament, as of February (%)",,,12.0766,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
142,Asia,2005,"Seats held by women in national parliament, as of February (%)",,,13.3688,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
142,Asia,2010,"Seats held by women in national parliament, as of February (%)",,,16.8335,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
142,Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.8047,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
142,Asia,2016,"Seats held by women in national parliament, as of February (%)",,,17.9493,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
142,Asia,2017,"Seats held by women in national parliament, as of February (%)",,,18.4092,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
142,Asia,2018,"Seats held by women in national parliament, as of February (%)",,,17.9048,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
142,Asia,2019,"Seats held by women in national parliament, as of February (%)",,,18.7629,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
143,Central Asia,2000,"Seats held by women in national parliament, as of February (%)",,,7.0064,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
143,Central Asia,2005,"Seats held by women in national parliament, as of February (%)",,,13.4375,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
143,Central Asia,2010,"Seats held by women in national parliament, as of February (%)",,,20,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
143,Central Asia,2015,"Seats held by women in national parliament, as of February (%)",,,21.7857,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
143,Central Asia,2016,"Seats held by women in national parliament, as of February (%)",,,21.0993,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
143,Central Asia,2017,"Seats held by women in national parliament, as of February (%)",,,21.2766,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
143,Central Asia,2018,"Seats held by women in national parliament, as of February (%)",,,21.2766,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
143,Central Asia,2019,"Seats held by women in national parliament, as of February (%)",,,21.0993,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
30,Eastern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,18.2339,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
30,Eastern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,18.1215,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
30,Eastern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,18.6575,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
30,Eastern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,20.3782,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
